Gene,F_P60_LPS 1,F_P60_LPS 2,F_P60_LPS 4,F_P60_LPS 5,F_P60_LPS 6,F_P60_Sal 1,F_P60_Sal 2,F_P60_Sal 3,F_P60_Sal 4,F_P60_Sal 5,F_P60_Sal 7,F_P60_LPS 3,F_P60_Sal 6
Gm5592,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5615,0,0,0,0,0,0,0,0,0,0,0,0,0
Akap14,0,0,0,0,2,6,2,1,0,0,0,0,2
4930428E23Rik,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5820,0,2,0,0,2,0,0,0,0,0,1,0,0
B020004J07Rik,0,0,0,0,0,0,3,0,0,0,0,2,0
Gm12888,0,0,0,0,0,0,0,0,0,0,0,0,0
Ubtfl1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fbxw18,0,0,0,0,0,0,0,0,0,0,0,0,0
Zcchc16,1,5,0,1,0,0,0,5,1,0,0,0,3
4930428D18Rik,0,0,0,0,0,0,0,0,0,0,0,0,0
G630016D24Rik,1,1,1,2,1,4,0,4,2,0,1,0,0
4930567H17Rik,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp872,0,0,0,0,0,0,0,0,0,0,0,0,0
9130409I23Rik,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp551,4,3,6,5,8,2,0,6,6,0,5,0,2
Rps27a,8,3,3,8,13,17,4,15,6,2,6,6,5
Smagp,10,11,8,17,23,40,13,38,14,13,3,16,9
Ak8,6,13,6,9,3,12,4,4,4,0,9,5,11
Ctrc,0,0,0,0,0,1,0,0,1,0,0,0,0
Kcnk9,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamts17,0,0,0,1,1,2,0,2,0,0,1,1,0
Vmn2r66,0,0,0,0,0,0,0,0,0,0,0,0,0
Tubal3,0,0,0,0,0,0,0,0,0,0,0,0,0
4930415L06Rik,0,0,0,0,0,0,0,0,0,0,0,0,0
Khdc1c,0,0,0,0,0,0,0,0,0,0,0,0,0
Treml4,4,2,5,3,3,8,2,4,0,0,1,4,2
Thnsl2,6,6,19,9,5,18,5,21,7,4,2,6,8
Calca,0,0,0,0,0,0,0,0,0,0,0,0,0
Ube3a,127,108,78,109,79,350,69,287,119,99,140,111,47
H2-Eb2,0,1,0,0,0,0,0,1,0,0,0,0,0
Ldlrad2,1,0,6,1,2,4,1,1,1,0,2,2,0
Fam92b,0,1,0,3,4,4,0,0,1,0,2,0,1
Hbq1b,0,0,0,0,0,0,0,0,0,0,0,0,0
7420426K07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0
Ncoa4,14,10,9,8,16,39,18,52,16,18,15,29,15
Accn1,3,1,0,1,2,3,2,1,0,0,0,1,0
1700024G13Rik,3,0,0,0,0,0,0,1,0,0,0,0,1
Ccdc160,1,0,0,6,2,1,1,3,0,1,1,0,3
Rufy4,1,0,0,3,0,0,0,0,1,0,0,0,0
BC096441,9,5,24,15,26,33,21,26,18,11,12,17,16
Gm5382,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13119,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5800,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5941,0,0,0,0,0,0,0,0,0,0,0,0,0
Shank1,1,0,2,0,0,1,0,0,1,0,1,0,1
Fam134b,244,116,154,225,219,801,223,566,207,283,255,202,115
4930430D24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0
Armc2,5,19,7,5,5,29,10,18,1,0,9,16,9
Gm4841,4,0,0,0,0,0,0,2,1,0,0,0,0
Gm4858,0,0,0,0,0,0,0,0,0,0,0,0,0
Erich1,10,5,12,8,8,25,5,24,2,1,11,7,4
Tmem136,4,7,3,13,8,19,4,15,3,1,13,5,8
Gm4907,0,0,0,0,0,0,0,0,0,0,0,0,0
Pnldc1,0,0,0,0,0,0,1,0,0,0,0,1,0
Pm20d2,7,6,7,5,7,23,6,14,1,0,10,8,8
Mrgprx2,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4981,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm749,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm853,1,3,2,0,2,2,1,2,0,0,2,0,0
Shisa6,0,0,0,0,0,0,0,10,0,0,2,0,0
Bpifb4,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc24,1,8,10,11,5,20,5,12,3,0,5,4,2
Dnaic2,6,7,6,7,2,26,2,11,3,0,6,3,4
Gm5460,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5464,0,0,0,0,0,0,0,0,1,0,0,1,0
Gm5465,0,0,0,0,0,0,0,1,0,1,0,0,0
Pnpla1,0,0,0,0,1,0,0,0,0,0,0,1,0
2210404J11Rik,15,11,7,14,17,44,11,46,16,7,16,26,16
Zfp936,0,0,0,0,0,0,0,0,0,0,0,0,0
Foxr2,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfr2,1,0,4,4,2,4,2,3,2,0,0,1,0
Tmem92-ps,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a15,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16432,0,3,0,0,0,0,1,2,1,0,2,0,0
Zfp345,0,0,0,1,0,3,0,0,0,0,0,0,0
Gm5878,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5887,1,5,1,7,4,9,2,12,1,0,3,6,1
Gm5891,0,0,0,0,0,0,0,0,0,0,0,0,0
Spag11b,0,0,0,0,0,0,0,0,0,0,0,0,0
Trim43a,0,0,0,0,0,0,0,2,0,0,0,0,0
Zc3h12b,2,3,0,5,4,6,0,13,8,5,2,1,4
Gm6034,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb42,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorbs1,49,54,34,62,72,154,27,132,34,25,119,63,31
Golm1,1592,697,1068,1309,1457,3590,1199,3073,1150,1338,1119,960,694
Setd6,13,1,0,6,4,21,5,13,8,9,3,8,3
Xpo1,219,148,93,193,172,569,126,482,175,156,182,187,119
St3gal5,170,144,214,223,193,519,188,509,164,194,195,161,186
Zfp748,50,24,9,19,16,78,28,84,40,35,44,28,42
Trpm3,540,1108,471,909,714,1878,451,1440,204,0,946,707,418
Zcchc18,9,29,23,40,21,67,19,49,11,0,23,15,22
AU040320,80,27,64,73,61,214,50,169,56,50,67,77,24
Akap2,298,210,355,388,568,89,21,126,38,34,119,226,19
Ap2b1,236,141,203,208,218,528,168,447,141,167,237,168,68
Nrbf2,20,11,16,33,27,56,21,49,10,18,32,30,10
Atp2b2,70,95,69,89,59,208,52,193,21,0,107,59,19
B3gnt8,0,0,0,0,1,0,0,0,0,1,0,0,0
Nacc2,65,32,57,72,73,181,59,192,46,50,73,65,11
Cacnb4,8,25,4,14,20,38,11,24,6,0,17,4,22
Musk,0,0,0,0,1,15,0,0,0,0,0,0,1
Ccne2,16,22,6,7,22,27,8,31,7,4,12,15,12
2310033E01Rik,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4925,0,1,0,0,0,2,0,0,0,0,0,0,0
Gm5647,0,0,0,0,0,0,0,0,0,0,0,0,0
Psg27,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomm40l,19,11,12,29,39,63,22,71,25,10,25,28,27
Defb36,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5156,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpk2,0,1,0,1,0,0,0,0,0,0,0,0,0
Fam38a,107,55,122,118,140,276,112,279,75,70,77,167,16
Fbxo40,1,1,1,0,1,0,0,1,0,1,0,0,0
Slc41a3,3,5,24,16,15,42,13,30,10,16,15,13,12
Defb28,0,0,0,0,0,0,0,0,0,0,0,0,0
Prok2,0,0,0,0,0,0,0,0,0,0,0,2,0
Plac1l,0,0,0,0,0,0,0,0,0,0,0,0,0
Rusc2,33,8,25,36,37,43,16,45,23,14,18,34,2
Kcnh6,0,0,0,0,0,0,0,0,0,0,0,0,0
Xaf1,43,41,15,58,88,41,12,49,6,36,17,11,29
Gm10439,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc38a6,33,12,27,31,23,84,8,54,18,16,31,23,13
4932415M13Rik,0,0,0,0,0,0,0,0,0,0,0,0,0
Btla,16,5,15,4,2,3,0,8,5,1,2,3,8
Adam15,195,53,367,262,299,589,300,640,203,200,156,315,54
Adcy7,210,76,177,185,196,607,202,594,197,202,152,222,49
Fam117b,251,35,96,95,107,315,115,251,98,100,107,110,25
Arhgap25,178,69,145,208,224,626,175,483,156,172,156,131,62
Fam40b,245,408,226,380,281,554,188,628,90,0,418,199,207
Gpx4,7,27,17,29,37,33,10,31,3,5,12,15,15
1110034B05Rik,12,10,3,8,15,38,14,28,15,11,7,12,10
4921506M07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0
Timm8a2,0,0,0,1,0,0,0,0,0,0,0,0,0
Zfp791,4,1,5,4,4,8,2,11,5,2,4,0,7
Prps1l3,66,55,30,39,56,143,40,114,44,41,60,42,48
Card9,33,9,63,60,83,172,64,154,44,48,33,57,20
LOC380994,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc22a14,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb48,0,0,0,0,0,0,0,1,0,0,0,0,0
Defb45,0,0,0,0,0,0,0,0,0,0,0,0,0
Brms1l,23,10,18,12,29,35,19,42,13,9,13,10,19
ORF19,18,12,26,18,34,60,18,62,24,22,37,21,8
Btrc,59,29,21,47,48,111,33,85,28,31,46,37,34
Sgk3,132,153,84,143,145,362,112,323,108,108,145,94,191
Capzb,312,209,323,342,405,785,272,709,219,216,252,248,186
Zdhhc12,4,1,14,5,2,6,6,5,4,1,5,5,4
Cdh3,20,29,35,39,12,66,25,51,12,0,41,22,11
Krtap5-5,0,0,0,0,0,0,0,0,0,0,0,0,0
Cml3,1,1,1,0,1,4,0,2,1,0,3,0,2
Cnot2,172,114,120,165,228,620,163,451,175,180,196,141,161
Csf1r,9300,2727,8683,7216,8013,23588,8887,21307,7863,8957,6973,7674,2327
Atp11c,165,297,140,214,216,549,133,404,140,71,241,170,133
Col28a1,0,0,0,0,0,0,0,0,1,1,2,0,0
Tcf25,191,77,173,277,354,604,177,458,171,154,157,167,80
Nell1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ripply2,0,0,0,0,0,0,0,0,0,0,0,0,0
C130026I21Rik,0,1,1,0,0,1,0,1,0,1,0,0,0
Ccdc107,29,27,20,26,36,72,19,37,10,12,17,13,30
Gm6320,0,0,0,0,0,0,0,0,0,0,0,0,0
Ripply1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc17,4,4,5,12,11,23,8,18,5,2,13,7,10
Gm6377,40,43,7,82,28,42,7,29,12,7,19,15,13
Lipt1,4,3,6,0,4,5,3,3,2,0,2,0,0
Gm6460,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6531,0,0,0,0,0,0,0,0,0,0,0,0,0
Lekr1,8,9,3,6,5,6,8,11,3,1,4,6,11
BC147527,14,3,2,11,3,7,5,5,2,10,3,3,4
Gm13051,0,0,0,0,0,0,0,0,0,0,0,0,0
Wdr93,0,4,1,0,1,5,0,4,0,0,1,0,3
Gm11992,8,12,7,10,7,29,4,26,2,1,15,5,10
Gm14092,1,0,0,1,0,0,0,0,0,1,1,0,0
Gm6878,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11437,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb23,0,0,0,0,0,0,0,0,0,0,0,1,0
Deptor,18,30,5,21,23,68,15,54,13,5,28,16,6
Dhrs4,13,13,13,10,9,22,9,27,5,11,15,9,18
Dyrk1b,4,1,9,7,3,27,10,23,3,4,10,7,3
Edil3,0,0,0,0,0,16,1,3,1,2,9,3,3
Fert2,57,53,49,60,41,146,29,107,33,31,40,38,38
Dbi,55,214,88,154,152,425,99,313,62,25,153,62,356
Kat2a,37,14,46,38,59,125,44,102,49,34,34,39,6
Gnpda2,35,45,29,25,27,71,24,79,24,20,28,18,38
Grk6,29,15,44,41,39,66,34,85,28,33,34,48,18
Anapc11,11,17,14,13,28,57,13,41,7,11,8,8,36
Banf1,14,21,28,29,34,61,26,54,21,20,30,13,40
Arsi,0,3,0,0,0,0,0,0,0,0,0,0,0
Gm6084,0,0,0,0,0,0,0,0,0,0,0,0,0
Usp14,113,68,62,89,115,271,75,179,64,84,101,61,67
Glrx2,17,24,16,28,21,71,15,46,13,13,36,19,29
Marveld2,14,5,9,18,21,26,8,13,3,6,9,12,2
Clec5a,148,91,108,149,148,432,116,340,153,212,160,129,125
Kcnh1,32,84,46,68,49,135,46,93,19,0,95,29,19
Txnl4a,80,45,90,91,84,233,64,168,37,46,56,50,48
Mapt,3,0,4,0,0,11,0,8,0,1,10,2,1
Dach1,6,2,7,3,5,4,3,11,0,5,7,2,0
Dmrtc1a,0,1,0,0,0,0,0,1,0,0,0,0,3
Dnm3,8,1,9,5,6,16,5,17,3,1,13,12,8
Rabgap1l,85,186,70,101,95,147,45,156,30,0,108,49,62
Ric3,70,87,31,71,63,163,34,125,27,20,69,34,28
Sertad2,111,42,39,107,140,232,47,163,59,72,63,66,26
Smurf1,123,43,102,110,107,299,110,246,96,88,87,92,16
Gng2,168,93,121,166,170,389,160,371,152,133,150,129,120
2210009G21Rik,19,2,4,11,7,34,10,26,13,10,16,5,5
Ets1,306,72,174,276,237,549,147,448,136,192,209,206,80
Zfp953,17,12,5,14,16,56,22,44,14,13,23,13,12
Slc16a3,20,10,27,28,30,84,40,46,22,26,7,22,14
Gng7,3,3,3,4,1,11,4,8,1,2,1,1,1
Faim2,0,0,0,0,0,1,0,1,0,0,0,0,2
Slc7a15,0,0,0,0,0,1,0,1,0,0,0,0,0
Gngt2,54,34,42,44,76,173,77,175,61,69,40,50,76
Gm4745,0,0,0,0,0,0,0,0,0,0,0,0,0
Kdm3a,194,62,74,160,189,692,149,496,158,188,189,161,83
Rnpc3,32,15,19,34,37,70,26,73,19,20,22,29,11
Gm5635,0,0,0,0,0,0,0,0,0,0,0,0,0
Elavl4,6,5,5,3,2,41,3,27,10,6,10,8,5
Gabrb3,1,1,4,1,0,3,0,3,1,0,0,0,0
Gpr146,74,70,108,74,94,164,65,161,47,56,75,68,35
Tmod2,6,3,15,19,15,37,6,30,5,0,17,9,2
Rnf38,154,79,79,133,129,427,100,319,94,99,113,117,38
Gm4787,0,2,0,2,1,4,3,1,1,1,1,0,0
Try10,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5771,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc23,11,5,11,12,20,36,9,29,8,17,9,6,19
Atp8a1,456,178,198,327,376,1312,350,971,405,411,457,353,240
Kif5a,0,0,2,2,1,9,0,8,1,0,0,0,1
Nhlrc4,0,0,0,0,0,5,0,0,0,0,0,0,0
Kctd21,25,10,10,20,10,54,27,61,31,19,25,27,7
Klk13,0,0,0,0,0,0,0,0,0,0,0,0,0
Pigc,16,8,14,12,20,65,18,63,14,25,28,17,19
Trim58,0,0,0,0,0,0,0,0,0,0,0,0,0
Trim63,0,0,0,0,0,0,0,0,0,0,0,0,0
Cox8c,0,0,0,0,0,0,0,0,0,0,0,0,0
Pkib,20,21,11,22,23,52,11,24,9,14,18,12,15
Kcnj15,0,0,0,0,0,0,0,0,0,0,1,2,0
Klhl15,5,2,7,1,7,11,1,7,1,8,9,2,2
Ldb3,1,1,1,1,0,2,0,3,1,0,5,0,1
Prkcz,1,5,3,4,5,22,12,15,1,0,5,8,5
Mier1,173,111,79,155,145,351,94,274,125,123,131,114,65
Rapgef1,132,48,136,205,189,446,144,357,108,123,143,172,20
Seh1l,63,62,57,95,96,223,66,164,59,67,89,72,62
Sel1l,264,115,162,221,181,587,159,569,195,168,283,175,102
Tom1l2,63,31,50,75,72,176,61,133,51,39,90,62,16
Negr1,6,9,6,9,7,30,7,19,3,0,18,0,6
Glt6d1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trpm1,0,0,0,0,0,0,0,0,0,0,0,0,0
Acsbg2,0,0,0,0,0,0,0,0,0,0,0,0,0
Zkscan4,10,4,8,1,7,28,7,26,6,9,8,5,4
Dmrtc1b,0,0,0,0,0,0,0,0,0,0,0,0,0
Klra33,2,0,0,0,2,0,2,0,1,1,0,0,6
EG654453,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb26,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb43,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb25,0,1,0,0,1,0,0,0,0,0,0,0,0
Defb18,0,0,0,0,0,0,0,0,0,0,0,0,0
Kncn,0,0,0,0,1,2,2,1,0,1,0,0,0
Defb47,0,0,0,0,0,0,0,0,0,0,0,0,0
Asb1,21,17,18,40,49,90,18,71,14,21,25,26,15
Tas2r122,0,0,0,0,0,0,0,0,0,0,0,0,0
Hnrnpa1,64,36,40,70,81,144,27,117,35,36,46,26,43
Scoc,264,152,167,150,211,799,224,598,286,291,282,222,290
Camk2g,56,26,50,43,73,185,59,138,47,45,63,64,28
Nlrp5,0,0,0,0,0,0,0,0,0,0,0,0,0
Morf4l1,13,17,18,40,42,48,21,57,22,18,23,27,20
Tctn1,34,8,68,22,55,89,38,71,22,30,21,44,20
Cdh8,0,0,0,0,0,0,0,0,0,0,0,0,0
Triobp,11,3,21,25,20,60,15,42,13,11,15,13,6
Ube2j2,5,13,16,24,28,46,18,27,13,13,8,18,15
Gvin1,5,10,2,16,26,25,3,15,4,11,3,7,3
Clip2,37,25,42,54,68,241,88,186,46,65,35,78,17
Rbfox3,1,0,0,0,1,1,0,0,0,0,0,0,0
Eif4e2,57,25,30,55,66,122,50,107,36,41,41,42,38
Dok6,0,0,0,0,0,0,0,1,2,0,0,0,0
Elovl1,77,37,66,57,77,181,68,159,47,79,65,62,36
Bicd2,127,59,103,124,157,386,137,329,112,134,129,97,34
Npr3,39,91,38,87,67,154,41,162,28,0,104,40,51
Cep350,234,118,76,190,157,681,163,566,233,195,204,187,50
Ceacam1,67,35,75,64,52,158,48,145,62,51,78,52,28
Gmfg,9,5,7,2,4,24,5,21,9,4,1,6,2
Zfhx2,16,3,16,15,15,33,23,38,10,2,10,11,0
C230096C10Rik,57,18,38,58,54,107,46,108,40,38,62,50,23
Hdhd2,38,50,32,45,40,127,33,96,39,23,40,28,50
Gm13152,1,4,1,0,8,11,2,13,3,3,9,3,3
Mex3c,134,55,107,152,191,412,102,250,105,119,107,109,17
Spink14,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6086,0,0,0,0,0,0,0,0,0,0,0,0,0
AI429214,1,1,2,2,1,5,2,6,3,4,3,5,2
Gm6289,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14137,0,3,1,0,0,4,1,2,1,1,0,2,1
Gm6583,11,2,2,3,9,22,1,13,9,8,5,17,5
Zfp951,26,9,22,7,25,54,15,26,11,16,10,14,9
Dcpp2,0,0,0,1,0,0,0,0,0,0,0,0,0
Zfp808,3,4,7,8,3,16,3,22,6,11,6,13,4
Gm7073,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7092,0,0,0,0,0,0,0,1,0,0,0,0,0
Kcnd3,5,14,8,7,5,18,11,15,2,0,9,8,5
Nolc1,79,27,66,85,143,165,47,166,50,56,55,47,14
Mobp,0,0,0,0,2,13,0,7,1,4,5,1,2
Polr2k,3,0,1,4,1,4,0,2,2,0,4,2,1
Slc22a15,5,4,4,5,7,9,4,8,3,2,5,4,4
Pde4dip,59,41,40,87,52,222,50,159,47,42,80,75,20
Vgf,0,0,0,0,0,0,1,2,0,0,0,0,0
Nelf,33,12,27,25,37,70,26,79,15,10,23,27,5
Wdr37,133,76,83,98,119,316,84,236,85,99,118,87,84
Pkig,26,15,38,16,31,79,29,82,18,35,20,40,56
Tmsb10,17,3,11,19,32,23,5,22,10,14,8,8,14
Rab43,88,29,85,152,152,371,115,287,85,105,79,111,20
Kif21b,260,88,216,341,280,1499,396,985,316,296,285,436,25
Tcerg1,100,54,37,90,110,284,56,188,75,72,80,68,20
Slco6b1,0,0,0,0,0,0,0,0,0,0,0,0,0
Klhl20,25,1,10,23,13,61,25,46,16,26,32,17,18
Tmco1,138,112,106,128,135,336,130,268,116,110,103,91,164
Kcnj10,8,4,5,1,0,84,10,41,7,10,6,0,2
Fam38b,0,0,1,1,1,6,1,5,0,0,1,3,0
4933421E11Rik,71,34,36,31,55,169,40,89,50,42,37,45,30
Plekhm3,82,20,18,58,72,238,58,164,66,65,81,81,42
1700019N12Rik,0,3,0,0,1,2,2,1,0,0,0,2,5
Ccdc108,32,36,29,25,26,78,25,80,7,1,26,47,11
Wfdc10,0,0,0,0,0,0,0,0,0,0,0,0,0
Krtap1-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Pnkd,2,7,10,1,9,18,6,13,4,2,11,1,7
Dhps,18,12,13,25,21,49,15,34,11,11,18,13,11
Arl4a,73,142,72,83,114,214,57,186,36,21,131,53,110
Gtf2a2,57,18,14,47,49,72,23,52,31,27,21,27,34
Dnm2,213,74,222,236,266,640,211,564,222,211,197,202,40
Rrn3,55,54,46,69,68,126,48,95,44,49,86,42,30
Leo1,28,27,39,16,34,65,20,58,9,9,26,13,14
Parp14,496,290,276,369,624,316,78,276,97,126,107,149,37
Zfp784,6,3,6,4,5,29,4,13,4,0,5,2,3
Pdxdc1,99,85,87,111,122,279,88,222,79,78,122,67,75
Pstk,20,5,17,6,8,35,5,21,13,6,21,14,11
Pigl,2,0,7,3,7,12,7,11,6,5,8,3,2
Mlf1,12,50,19,33,24,56,31,48,1,1,33,8,39
Mup3,0,0,0,0,0,0,0,0,0,0,0,0,0
Myh2,0,1,0,0,0,0,0,0,0,0,0,0,0
Myo6,107,75,59,101,82,233,49,150,33,33,113,59,42
Cnnm3,37,9,33,29,31,94,49,110,23,32,39,32,1
4930467E23Rik,0,0,0,0,0,0,0,0,0,0,0,0,0
Angptl7,9,3,5,8,13,15,9,11,7,20,9,19,10
Cyp2c68,0,0,0,0,0,0,0,0,0,0,0,0,0
Rad54b,3,2,3,3,1,7,0,10,0,1,12,4,5
4922505G16Rik,1,0,1,0,0,0,0,1,0,0,0,0,1
C030030A07Rik,0,0,0,0,0,3,1,0,0,0,0,5,1
Gcnt7,0,0,2,1,0,5,2,2,2,0,0,3,0
Ankrd37,0,0,1,0,1,6,2,5,2,0,2,0,9
Defb30,0,0,0,0,0,0,0,1,0,0,0,0,2
Evi5l,9,2,22,3,11,22,3,15,5,10,10,8,0
Abca3,90,32,90,77,110,315,116,247,77,96,112,118,21
Glyctk,1,0,0,1,0,5,2,1,1,0,0,0,1
1700015E13Rik,2,0,4,0,0,5,0,2,3,2,1,1,0
Lce3a,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13043,0,0,0,0,0,0,0,0,0,0,0,0,0
Edem3,109,60,61,80,88,265,80,229,80,85,116,75,49
Asphd1,0,0,0,0,0,0,1,0,0,0,0,0,0
Gbp10,3,7,3,15,23,1,0,0,0,0,0,9,2
Gbp11,5,3,0,3,6,0,0,0,0,0,0,1,0
Oprm1,0,3,3,0,3,5,0,2,1,0,1,1,0
Lhx3,0,0,0,0,0,0,0,0,0,0,0,0,0
Mtl5,0,0,0,0,0,0,0,0,0,0,0,1,1
Krt40,0,0,0,0,0,0,0,0,0,0,0,0,0
Iffo1,67,23,61,68,115,372,109,225,95,77,66,82,17
Slc39a2,2,0,1,0,1,6,0,3,1,2,1,1,0
Slc30a2,0,0,0,0,0,0,0,0,0,0,0,0,0
Prhoxnb,0,0,0,0,0,0,0,0,0,0,0,0,0
Mks1,22,6,11,19,14,31,11,42,8,8,11,9,11
Rhox4a,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhox4c,0,0,0,0,0,0,0,0,0,0,0,0,0
Arhgap12,264,177,124,203,229,662,205,555,225,263,266,229,138
Rhox4d,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhox4f,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhox4g,0,0,0,0,0,0,0,0,0,0,0,0,0
Pkd1l3,22,19,18,32,38,71,14,62,19,25,22,17,18
Il1rn,217,183,170,223,238,11,7,16,4,4,5,32,3
Coq10b,75,54,53,131,144,340,70,160,57,68,43,55,76
9030619P08Rik,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmem120b,5,6,10,9,6,13,3,6,2,4,10,6,5
Fdx1l,9,0,7,6,5,8,4,14,8,3,2,6,8
Strn4,49,26,60,71,100,188,82,150,55,55,48,71,14
Smok3b,0,0,0,0,0,0,0,0,0,0,0,0,0
Mtap2,7,19,5,16,14,57,2,40,4,0,14,14,19
Asxl1,245,57,87,151,168,471,130,372,118,121,132,148,36
Cypt8,0,0,0,0,0,0,0,0,0,0,0,0,0
Cypt9,0,0,0,0,0,0,0,0,0,0,0,0,0
Cypt7,0,0,0,0,0,0,0,0,0,0,0,0,0
Cypt10,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp869,127,86,108,166,190,458,90,243,103,132,136,116,102
Sco1,12,9,7,11,13,19,5,31,10,3,23,14,9
Gm15386,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14316,0,0,0,0,0,0,0,0,0,0,0,0,0
Nynrin,22,17,25,28,13,69,31,88,10,8,43,26,4
Sytl2,10,33,25,24,17,70,22,47,14,1,40,22,22
Rhox3f,0,0,0,0,0,0,0,0,0,0,0,0,0
Aak1,134,87,72,139,93,481,123,330,122,117,195,147,42
Arap1,165,57,189,253,263,443,203,410,122,157,104,199,25
Pdzd9,4,19,2,3,4,18,1,11,1,2,4,1,6
Ddx17,523,314,326,489,672,1542,431,1257,425,396,546,497,267
1110020G09Rik,67,40,21,60,33,143,40,96,35,44,49,40,34
2810407C02Rik,392,327,218,404,323,873,250,711,262,236,354,223,309
Filip1l,208,93,104,178,223,301,60,253,101,125,96,124,37
Larp1b,11,17,14,19,8,38,10,40,8,1,15,6,10
Tet2,180,98,90,154,143,418,80,277,91,89,95,125,48
Flot2,19,15,17,25,41,54,31,38,12,16,26,32,14
Thsd4,2,0,3,5,2,4,0,6,1,1,9,3,0
Rgag1,2,0,0,0,0,0,0,0,0,1,0,0,0
Tacc3,16,7,10,12,15,20,10,25,11,7,4,11,5
Shroom4,23,19,9,21,24,21,4,30,10,5,33,28,3
Dear1,1,0,1,3,3,4,1,5,5,1,5,2,1
Peg10,229,75,87,241,281,446,110,396,135,245,123,165,15
Gm5169,0,0,0,0,0,0,0,0,0,0,1,0,0
Clmn,51,97,38,78,53,278,69,227,49,4,125,90,14
Med15,55,13,54,44,57,156,57,137,45,42,40,53,6
Hsd3b7,42,30,46,51,83,116,37,84,25,20,37,37,29
Zfp692,23,4,11,13,19,47,26,29,12,4,5,22,3
Rspo4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rap1gds1,434,179,264,364,288,1115,331,928,363,351,382,276,138
Ung,1,0,0,6,4,2,3,0,1,0,0,0,1
Slc6a18,0,0,0,0,0,0,0,0,0,0,0,0,0
Uevld,12,9,6,10,14,40,13,16,10,9,13,17,3
Nlrp1b,69,27,35,50,46,266,44,151,60,49,52,90,11
Mtmr7,7,10,11,11,6,28,10,14,7,7,8,11,6
BC051019,0,1,0,1,1,6,1,3,0,0,0,3,0
Pex10,8,2,1,9,11,22,6,17,4,6,1,4,0
Lepre1,7,10,10,9,9,35,8,27,10,6,23,12,2
Kntc1,0,3,3,1,6,6,0,7,2,2,1,1,1
Zhx1,101,118,89,156,117,314,76,288,79,86,173,56,74
Snca,0,0,1,0,0,3,0,0,0,0,4,0,2
Golga7,41,41,51,48,60,121,41,89,32,40,55,28,47
Tmem183a,78,62,61,83,103,191,67,165,61,48,62,57,62
Hvcn1,186,69,271,187,251,531,185,468,161,161,124,174,86
Rabl3,13,5,7,3,8,25,6,8,3,2,6,10,8
